name,artist,id,added_at,added_by,length_seconds
Skulls,Halestorm,4nFYiBLRjRYyhY95x5qSm1,2019-10-14T00:12:38Z,dcgf1cskgtjkfyutncw14t2eu,199
Not Dead Yet,LEDGER,4hCkgJwyn7KfnfFSvYf8wF,2019-10-14T00:54:32Z,dcgf1cskgtjkfyutncw14t2eu,216
Relentless,Dream State,1vZneKyiEo1mkleHED2mx3,2019-10-14T00:54:47Z,dcgf1cskgtjkfyutncw14t2eu,239
Help Myself,Dream State,7lEoXF4Psu6yXTMkIv3qHn,2019-10-14T00:54:57Z,dcgf1cskgtjkfyutncw14t2eu,214
Underneath,Zahna,0emvfKSTwQfCajyOWyNPoN,2019-10-14T00:55:21Z,dcgf1cskgtjkfyutncw14t2eu,269
Rot,Lacey Sturm,0FBG5AOMPE6cB1EBuWWhYq,2019-10-14T00:55:32Z,dcgf1cskgtjkfyutncw14t2eu,204
Furious Love,VERIDIA,145QrWJ6oyfctM8QlKAA0S,2019-10-14T00:55:39Z,dcgf1cskgtjkfyutncw14t2eu,210
Judgement (& Punishment),Jinjer,2ffFqeaoQizuEVaTtwpQPK,2019-10-14T00:55:47Z,dcgf1cskgtjkfyutncw14t2eu,259
All I Wanted,Paramore,1Bv3h7Vc4AaYA2BcSM3rVd,2019-10-14T00:56:46Z,dcgf1cskgtjkfyutncw14t2eu,225
Drop Dead Cynical,Amaranthe,5VToMJACRoeT0YZNs5CYyp,2019-10-14T03:17:18Z,dcgf1cskgtjkfyutncw14t2eu,197
Freak Like Me,Halestorm,3Akw1yw6W6bQ7GXB0FCoe5,2019-10-14T03:17:36Z,dcgf1cskgtjkfyutncw14t2eu,218
Rapture,Roses Unread,0CDxfkXrY0sXQE1RY4dX3a,2019-10-14T03:21:14Z,dcgf1cskgtjkfyutncw14t2eu,194
Unbreakable,Fireflight,6M9vEm3Cy3PHr3QkXRX6x3,2019-10-14T03:21:26Z,dcgf1cskgtjkfyutncw14t2eu,201
Code Of Honor,Deadlock,43xdEiZZrSoNdETUepZpYR,2019-10-14T03:46:40Z,dcgf1cskgtjkfyutncw14t2eu,267
Warrior (feat. John Cooper),"LEDGER, John Cooper",1GsU9UOiyfavihpw8PZ3ZJ,2019-10-14T03:46:59Z,dcgf1cskgtjkfyutncw14t2eu,209
,Unknown Artist,4l9DbarqhaJCDC5ouQY3Zv,2019-10-14T03:55:14Z,dcgf1cskgtjkfyutncw14t2eu,0
Élan - Remastered,Nightwish,6iTcS4M55bGkrBEs4ryerv,2019-10-14T04:26:25Z,dcgf1cskgtjkfyutncw14t2eu,287
Unleashed,Epica,6e0WQZoIomyqXtAvNmHK46,2019-10-14T04:35:44Z,dcgf1cskgtjkfyutncw14t2eu,348
Cherophobia - The Failure in Me,Devilskin,0c5PcBPLLsAFdEgnF4og8M,2019-10-14T04:36:57Z,dcgf1cskgtjkfyutncw14t2eu,269
Cherry,Mannequin Death Squad,1Fnj3hWYkmfYNOxzFaglgc,2023-06-03T13:46:34Z,dcgf1cskgtjkfyutncw14t2eu,142
Skeletons,New Years Day,6MNDpOgAXLuL8lx3vAQWhS,2019-10-14T05:12:39Z,dcgf1cskgtjkfyutncw14t2eu,212
Come For Me,New Years Day,6RT2boG8dbLXpgnSXQx1LY,2019-10-14T05:12:50Z,dcgf1cskgtjkfyutncw14t2eu,214
Angel Eyes (feat. Chris Motionless),"New Years Day, Chris Motionless",2XV2ha4tZI3HMFyJMo6sHv,2019-10-14T05:13:11Z,dcgf1cskgtjkfyutncw14t2eu,176
